,Age,Fare,Survived,Pclass_2,Pclass_3,Sex_male,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,Embarked_Q,Embarked_S
72,21.0,73.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
73,26.0,14.4542,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
74,32.0,56.4958,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
75,25.0,7.65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
78,0.83,29.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
79,30.0,12.475,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,22.0,9.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
81,29.0,9.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
83,28.0,47.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
84,17.0,10.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,33.0,15.85,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
86,16.0,34.375,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
88,23.0,263.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
89,24.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
90,29.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
91,20.0,7.8542,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
92,46.0,61.175,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
93,26.0,20.575,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
94,59.0,7.25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
96,71.0,34.6542,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,23.0,63.3583,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
98,34.0,23.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
99,34.0,26.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
100,28.0,7.8958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,21.0,77.2875,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
103,33.0,8.6542,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
104,37.0,7.925,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
105,28.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
106,21.0,7.65,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,38.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110,47.0,52.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
111,14.5,14.4542,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,22.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
113,20.0,9.825,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
114,17.0,14.4583,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,21.0,7.925,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
116,70.5,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
117,29.0,21.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
118,24.0,247.5208,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
119,2.0,31.275,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
120,21.0,73.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
122,32.5,30.0708,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
123,32.5,13.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,54.0,77.2875,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
125,12.0,11.2417,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
127,24.0,7.1417,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
129,45.0,6.975,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
130,33.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,20.0,7.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
132,47.0,14.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
133,29.0,26.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
134,25.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
135,23.0,15.0458,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,19.0,26.2833,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
137,37.0,53.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
138,16.0,9.2167,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
139,24.0,79.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,22.0,7.75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,24.0,15.85,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
143,19.0,6.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
144,18.0,11.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
145,19.0,36.75,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
146,27.0,7.7958,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
147,9.0,34.375,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
148,36.5,26.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
149,42.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
150,51.0,12.525,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
151,22.0,66.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
152,55.5,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
153,40.5,14.5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
155,51.0,61.3792,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
156,16.0,7.7333,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,30.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
160,44.0,16.1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
161,40.0,15.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,26.0,7.775,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
163,17.0,8.6625,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
164,1.0,39.6875,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
165,9.0,20.525,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
167,45.0,27.9,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
169,28.0,56.4958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
170,61.0,33.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
171,4.0,29.125,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
172,1.0,11.1333,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
173,21.0,7.925,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
174,56.0,30.6958,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
175,18.0,7.8542,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
177,50.0,28.7125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,30.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
179,36.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
182,9.0,31.3875,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
183,1.0,39.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
184,4.0,22.025,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
187,45.0,26.55,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
188,40.0,15.5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
189,36.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
190,32.0,13.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191,19.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
192,19.0,7.8542,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
193,3.0,26.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
194,44.0,27.7208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,58.0,146.5208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,42.0,8.4042,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
199,24.0,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,28.0,9.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
202,34.0,6.4958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
203,45.5,7.225,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
204,18.0,8.05,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
205,2.0,10.4625,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
206,32.0,15.85,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
207,26.0,18.7875,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,16.0,7.75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209,40.0,31.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,24.0,7.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
211,35.0,21.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
212,22.0,7.25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
213,30.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
215,31.0,113.275,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
216,27.0,7.925,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,42.0,27.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
218,32.0,76.2917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,30.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
220,16.0,8.05,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
221,27.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
222,51.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
224,38.0,90.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
225,22.0,9.35,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
226,19.0,10.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
227,20.5,7.25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
228,18.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
230,35.0,83.475,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
231,29.0,7.775,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
232,59.0,13.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
233,5.0,31.3875,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
234,24.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
236,44.0,26.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
237,8.0,26.25,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
238,19.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
239,33.0,12.275,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
242,29.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
243,22.0,7.125,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
244,30.0,7.225,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
245,44.0,90.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
246,25.0,7.775,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
247,24.0,14.5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
248,37.0,52.5542,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
249,54.0,26.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
251,29.0,10.4625,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
252,62.0,26.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
253,30.0,16.1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
254,41.0,20.2125,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
255,29.0,15.2458,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
257,30.0,86.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
258,35.0,512.3292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,50.0,26.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
261,3.0,31.3875,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
262,52.0,79.65,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
263,40.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
265,36.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
266,16.0,39.6875,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
267,25.0,7.775,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
268,58.0,153.4625,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
269,35.0,135.6333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
271,25.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
272,41.0,19.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
273,37.0,29.7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
275,63.0,77.9583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
276,45.0,7.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
278,7.0,29.125,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
279,35.0,20.25,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
280,65.0,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
281,28.0,7.8542,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
282,16.0,9.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
283,19.0,8.05,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
285,33.0,8.6625,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
286,30.0,9.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
287,22.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
288,42.0,13.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
289,22.0,7.75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
290,26.0,78.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
291,19.0,91.0792,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
292,36.0,12.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
293,24.0,8.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
294,24.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
296,23.5,7.2292,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
297,2.0,151.55,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
299,50.0,247.5208,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
302,19.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
305,0.92,151.55,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
307,17.0,108.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
308,30.0,24.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
309,30.0,56.9292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,24.0,83.1583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,18.0,262.375,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
312,26.0,26.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
313,28.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
314,43.0,26.25,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
315,26.0,7.8542,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
316,24.0,26.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
317,54.0,14.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
318,31.0,164.8667,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
319,40.0,134.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
320,22.0,7.25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
321,27.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
322,30.0,12.35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
323,22.0,29.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
325,36.0,135.6333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,61.0,6.2375,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
327,36.0,13.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
328,31.0,20.525,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
329,16.0,57.9792,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
331,45.5,28.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
332,38.0,153.4625,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
333,16.0,18.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
336,29.0,66.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
337,41.0,134.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,45.0,8.05,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
339,45.0,35.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
340,2.0,26.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
341,24.0,263.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
342,28.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
343,25.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
344,36.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
345,24.0,13.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
346,40.0,13.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
348,3.0,15.9,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
349,42.0,8.6625,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
350,23.0,9.225,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
352,15.0,7.2292,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
353,25.0,17.8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
355,28.0,9.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
356,22.0,55.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
357,38.0,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
360,40.0,27.9,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
361,29.0,27.7208,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
362,45.0,14.4542,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
363,35.0,7.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
365,30.0,7.25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
366,60.0,75.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
369,24.0,69.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,25.0,55.4417,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
371,18.0,6.4958,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
372,19.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
373,22.0,135.6333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
374,3.0,21.075,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
376,22.0,7.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
377,27.0,211.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
378,20.0,4.0125,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
379,19.0,7.775,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
380,42.0,227.525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,1.0,15.7417,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
382,32.0,7.925,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
383,35.0,52.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
385,18.0,73.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
386,1.0,46.9,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
387,36.0,13.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
